date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:18:48	201/201	---M--	200	added ('OK')	text/plain	date:Sat,%2016%20Apr%202022%2022:18:46%20GMT	https://spam5014.wixsite.com/robots.txt		(from )
16:18:48	240509/240509	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Apr%202022%2022:18:46%20GMT	https://spam5014.wixsite.com/test	H:/Projects/Site/for%20real%20site/spam5014.wixsite.com/test.html	(from )
16:18:49	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	H:/Projects/Site/for%20real%20site/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://spam5014.wixsite.com/test)
16:18:49	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	H:/Projects/Site/for%20real%20site/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://spam5014.wixsite.com/test)
16:18:49	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2004%20Apr%202022%2012:11:16%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	H:/Projects/Site/for%20real%20site/polyfill.io/v3/polyfill.mind82c.js	(from https://spam5014.wixsite.com/test)
16:18:50	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	H:/Projects/Site/for%20real%20site/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://spam5014.wixsite.com/test)
16:18:50	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Apr%202022%2022:18:49%20GMT	https://spam5014.wixsite.com/decodeURIComponent(e	H:/Projects/Site/for%20real%20site/spam5014.wixsite.com/decodeURIComponent(e	(from https://spam5014.wixsite.com/test)
16:18:50	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Apr%202022%2022:18:50%20GMT	https://spam5014.wixsite.com/sitemap.xml	H:/Projects/Site/for%20real%20site/spam5014.wixsite.com/sitemap.xml	(from https://spam5014.wixsite.com/test)
16:18:50	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Apr%202022%2022:18:50%20GMT	https://spam5014.wixsite.com/feed.xml	H:/Projects/Site/for%20real%20site/spam5014.wixsite.com/feed.xml	(from https://spam5014.wixsite.com/test)
16:18:51	176746/176746	---M-Z	200	added ('OK')	application/javascript	etag:W/%229fb75c8c9363bc8515fca5c90f136ac7%22	https://static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.394138e5.bundle.min.js	H:/Projects/Site/for%20real%20site/static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.394138e5.bundle.min.js	(from https://spam5014.wixsite.com/test)
16:18:51	179087/179087	---M-Z	200	added ('OK')	application/javascript	etag:W/%222fb7ea2852500ff2d8315261a5807818%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.63b344ca.bundle.min.js	H:/Projects/Site/for%20real%20site/static.parastorage.com/services/wix-thunderbolt/dist/main.63b344ca.bundle.min.js	(from https://spam5014.wixsite.com/test)
16:18:51	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	H:/Projects/Site/for%20real%20site/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://spam5014.wixsite.com/test)
16:18:51	12463/12463	---M-Z	200	added ('OK')	application/javascript	etag:%22edf56a42bca6b565bf7dfcbd8ffc221a%22	https://static.parastorage.com/unpkg/react@16.13.1/umd/react.production.min.js	H:/Projects/Site/for%20real%20site/static.parastorage.com/unpkg/react@16.13.1/umd/react.production.min.js	(from https://spam5014.wixsite.com/test)
16:18:52	11216/11216	---M-Z	200	added ('OK')	application/javascript	etag:W/%2274b64900831a2e814a8ff0cdedcf80cb%22	https://static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js	H:/Projects/Site/for%20real%20site/static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js	(from https://spam5014.wixsite.com/test)
